antecedents,consequents,support,confidence,lift
"frozenset({'Oil', 'Sugar', 'Bread', 'Biscuits'})","frozenset({'Tea', 'Butter', 'Rice', 'Coffee'})",0.126,0.6428571428571428,3.6525974025974026
"frozenset({'Tea', 'Butter', 'Rice', 'Coffee'})","frozenset({'Oil', 'Sugar', 'Bread', 'Biscuits'})",0.126,0.7159090909090909,3.6525974025974026
"frozenset({'Butter', 'Rice', 'Biscuits', 'Coffee'})","frozenset({'Oil', 'Tea', 'Sugar', 'Bread'})",0.126,0.7078651685393259,3.611556982343499
"frozenset({'Oil', 'Tea', 'Sugar', 'Bread'})","frozenset({'Butter', 'Rice', 'Biscuits', 'Coffee'})",0.126,0.6428571428571428,3.611556982343499
"frozenset({'Rice', 'Sugar', 'Bread', 'Biscuits'})","frozenset({'Tea', 'Oil', 'Coffee'})",0.14,0.7526881720430109,3.035032951786334
"frozenset({'Tea', 'Oil', 'Coffee'})","frozenset({'Rice', 'Sugar', 'Bread', 'Biscuits'})",0.14,0.5645161290322581,3.035032951786334
"frozenset({'Rice', 'Bread', 'Biscuits', 'Coffee'})","frozenset({'Oil', 'Tea', 'Sugar'})",0.14,0.7777777777777779,3.014642549526271
"frozenset({'Oil', 'Tea', 'Sugar'})","frozenset({'Rice', 'Bread', 'Biscuits', 'Coffee'})",0.14,0.5426356589147288,3.014642549526271
"frozenset({'Oil', 'Bread', 'Biscuits', 'Coffee'})","frozenset({'Tea', 'Sugar', 'Rice'})",0.14,0.7526881720430109,3.0107526881720434
"frozenset({'Tea', 'Sugar', 'Rice'})","frozenset({'Oil', 'Bread', 'Biscuits', 'Coffee'})",0.14,0.56,3.0107526881720434
"frozenset({'Oil', 'Biscuits', 'Coffee'})","frozenset({'Rice', 'Tea', 'Sugar', 'Bread'})",0.14,0.546875,2.972146739130435
"frozenset({'Rice', 'Tea', 'Sugar', 'Bread'})","frozenset({'Oil', 'Biscuits', 'Coffee'})",0.14,0.7608695652173914,2.972146739130435
"frozenset({'Tea', 'Oil', 'Coffee'})","frozenset({'Butter', 'Sugar', 'Rice', 'Biscuits'})",0.132,0.5322580645161291,2.9569892473118284
"frozenset({'Butter', 'Sugar', 'Rice', 'Biscuits'})","frozenset({'Tea', 'Oil', 'Coffee'})",0.132,0.7333333333333334,2.956989247311828
"frozenset({'Sugar', 'Biscuits', 'Butter', 'Bread', 'Rice'})","frozenset({'Tea', 'Oil', 'Coffee'})",0.126,0.7325581395348838,2.953863465866467
"frozenset({'Tea', 'Oil', 'Coffee'})","frozenset({'Sugar', 'Biscuits', 'Butter', 'Bread', 'Rice'})",0.126,0.5080645161290323,2.953863465866467
"frozenset({'Oil', 'Tea', 'Sugar'})","frozenset({'Biscuits', 'Coffee', 'Butter', 'Bread', 'Rice'})",0.126,0.4883720930232558,2.942000560381059
"frozenset({'Biscuits', 'Coffee', 'Butter', 'Bread', 'Rice'})","frozenset({'Oil', 'Tea', 'Sugar'})",0.126,0.7590361445783133,2.942000560381059
"frozenset({'Biscuits', 'Coffee', 'Butter', 'Bread', 'Oil'})","frozenset({'Tea', 'Sugar', 'Rice'})",0.126,0.7325581395348838,2.930232558139535
"frozenset({'Tea', 'Sugar', 'Rice'})","frozenset({'Biscuits', 'Coffee', 'Butter', 'Bread', 'Oil'})",0.126,0.504,2.930232558139535
"frozenset({'Tea', 'Butter', 'Sugar', 'Rice'})","frozenset({'Oil', 'Biscuits', 'Coffee'})",0.132,0.7500000000000001,2.9296875000000004
"frozenset({'Oil', 'Biscuits', 'Coffee'})","frozenset({'Tea', 'Sugar', 'Butter', 'Bread', 'Rice'})",0.126,0.4921875,2.9296875
"frozenset({'Oil', 'Biscuits', 'Coffee'})","frozenset({'Tea', 'Butter', 'Sugar', 'Rice'})",0.132,0.515625,2.9296875
"frozenset({'Tea', 'Sugar', 'Butter', 'Bread', 'Rice'})","frozenset({'Oil', 'Biscuits', 'Coffee'})",0.126,0.75,2.9296875
"frozenset({'Tea', 'Rice', 'Coffee'})","frozenset({'Oil', 'Sugar', 'Bread', 'Biscuits'})",0.14,0.5737704918032788,2.927400468384075
"frozenset({'Oil', 'Sugar', 'Bread', 'Biscuits'})","frozenset({'Tea', 'Rice', 'Coffee'})",0.14,0.7142857142857143,2.927400468384075
"frozenset({'Tea', 'Rice', 'Bread', 'Coffee'})","frozenset({'Oil', 'Sugar', 'Biscuits'})",0.14,0.7777777777777779,2.923976608187135
"frozenset({'Oil', 'Sugar', 'Biscuits'})","frozenset({'Tea', 'Rice', 'Bread', 'Coffee'})",0.14,0.5263157894736842,2.9239766081871346
"frozenset({'Sugar', 'Rice', 'Biscuits'})","frozenset({'Tea', 'Oil', 'Coffee'})",0.186,0.7209302325581395,2.9069767441860463
"frozenset({'Tea', 'Oil', 'Coffee'})","frozenset({'Sugar', 'Rice', 'Biscuits'})",0.186,0.75,2.9069767441860463
"frozenset({'Tea', 'Sugar', 'Rice'})","frozenset({'Oil', 'Biscuits', 'Coffee'})",0.186,0.744,2.90625
"frozenset({'Oil', 'Biscuits', 'Coffee'})","frozenset({'Tea', 'Sugar', 'Rice'})",0.186,0.7265625,2.90625
"frozenset({'Tea', 'Sugar', 'Rice'})","frozenset({'Oil', 'Butter', 'Biscuits', 'Coffee'})",0.132,0.528,2.9010989010989015
"frozenset({'Oil', 'Butter', 'Biscuits', 'Coffee'})","frozenset({'Tea', 'Sugar', 'Rice'})",0.132,0.7252747252747254,2.9010989010989015
"frozenset({'Tea', 'Coffee', 'Butter', 'Bread', 'Rice'})","frozenset({'Oil', 'Sugar', 'Biscuits'})",0.126,0.7682926829268293,2.8883183568677793
"frozenset({'Oil', 'Sugar', 'Biscuits'})","frozenset({'Tea', 'Coffee', 'Butter', 'Bread', 'Rice'})",0.126,0.47368421052631576,2.888318356867779
"frozenset({'Tea', 'Oil', 'Bread', 'Coffee'})","frozenset({'Sugar', 'Rice', 'Biscuits'})",0.14,0.7446808510638299,2.8863598878443018
"frozenset({'Sugar', 'Rice', 'Biscuits'})","frozenset({'Tea', 'Oil', 'Bread', 'Coffee'})",0.14,0.5426356589147288,2.8863598878443018
"frozenset({'Tea', 'Rice', 'Coffee'})","frozenset({'Oil', 'Butter', 'Sugar', 'Biscuits'})",0.132,0.5409836065573771,2.8775723753051974
"frozenset({'Oil', 'Butter', 'Sugar', 'Biscuits'})","frozenset({'Tea', 'Rice', 'Coffee'})",0.132,0.7021276595744681,2.8775723753051974
"frozenset({'Oil', 'Tea', 'Sugar'})","frozenset({'Butter', 'Rice', 'Biscuits', 'Coffee'})",0.132,0.5116279069767442,2.8743140841390127
"frozenset({'Butter', 'Rice', 'Biscuits', 'Coffee'})","frozenset({'Oil', 'Tea', 'Sugar'})",0.132,0.7415730337078652,2.8743140841390122
"frozenset({'Oil', 'Sugar', 'Biscuits'})","frozenset({'Tea', 'Rice', 'Coffee'})",0.186,0.6992481203007518,2.8657709848391466
"frozenset({'Tea', 'Rice', 'Coffee'})","frozenset({'Oil', 'Sugar', 'Biscuits'})",0.186,0.7622950819672131,2.8657709848391466
"frozenset({'Rice', 'Biscuits', 'Coffee'})","frozenset({'Oil', 'Tea', 'Sugar'})",0.186,0.7380952380952381,2.8608342561830935
"frozenset({'Oil', 'Tea', 'Sugar'})","frozenset({'Rice', 'Biscuits', 'Coffee'})",0.186,0.7209302325581395,2.860834256183093
"frozenset({'Sugar', 'Rice', 'Biscuits'})","frozenset({'Tea', 'Coffee', 'Butter', 'Bread', 'Oil'})",0.126,0.4883720930232558,2.8393726338561387
"frozenset({'Tea', 'Coffee', 'Butter', 'Bread', 'Oil'})","frozenset({'Sugar', 'Rice', 'Biscuits'})",0.126,0.7325581395348838,2.8393726338561387
"frozenset({'Sugar', 'Biscuits', 'Butter', 'Bread', 'Oil'})","frozenset({'Tea', 'Rice', 'Coffee'})",0.126,0.6923076923076923,2.837326607818411
"frozenset({'Tea', 'Rice', 'Coffee'})","frozenset({'Sugar', 'Biscuits', 'Butter', 'Bread', 'Oil'})",0.126,0.5163934426229508,2.837326607818411
"frozenset({'Oil', 'Tea', 'Sugar', 'Bread'})","frozenset({'Rice', 'Biscuits', 'Coffee'})",0.14,0.7142857142857143,2.834467120181406
"frozenset({'Rice', 'Biscuits', 'Coffee'})","frozenset({'Oil', 'Tea', 'Sugar', 'Bread'})",0.14,0.5555555555555556,2.834467120181406
"frozenset({'Tea', 'Butter', 'Rice', 'Coffee'})","frozenset({'Oil', 'Sugar', 'Biscuits'})",0.132,0.7500000000000001,2.8195488721804516
"frozenset({'Oil', 'Sugar', 'Biscuits'})","frozenset({'Tea', 'Butter', 'Rice', 'Coffee'})",0.132,0.49624060150375937,2.819548872180451
"frozenset({'Oil', 'Tea', 'Butter', 'Sugar'})","frozenset({'Rice', 'Biscuits', 'Coffee'})",0.132,0.7096774193548387,2.8161802355350742
"frozenset({'Rice', 'Biscuits', 'Coffee'})","frozenset({'Oil', 'Tea', 'Butter', 'Sugar'})",0.132,0.5238095238095238,2.8161802355350742
"frozenset({'Oil', 'Tea', 'Butter', 'Coffee'})","frozenset({'Sugar', 'Rice', 'Biscuits'})",0.132,0.7252747252747254,2.811142346026067
"frozenset({'Sugar', 'Rice', 'Biscuits'})","frozenset({'Oil', 'Tea', 'Butter', 'Coffee'})",0.132,0.5116279069767442,2.811142346026067
"frozenset({'Tea', 'Sugar', 'Butter', 'Bread', 'Oil'})","frozenset({'Rice', 'Biscuits', 'Coffee'})",0.126,0.7000000000000001,2.777777777777778
"frozenset({'Rice', 'Biscuits', 'Coffee'})","frozenset({'Tea', 'Sugar', 'Butter', 'Bread', 'Oil'})",0.126,0.5,2.7777777777777777
"frozenset({'Oil', 'Bread', 'Biscuits', 'Coffee'})","frozenset({'Butter', 'Sugar', 'Rice'})",0.14,0.7526881720430109,2.7672359266287163
"frozenset({'Butter', 'Sugar', 'Rice'})","frozenset({'Oil', 'Bread', 'Biscuits', 'Coffee'})",0.14,0.5147058823529412,2.7672359266287163
"frozenset({'Butter', 'Sugar', 'Rice'})","frozenset({'Tea', 'Oil', 'Bread', 'Coffee'})",0.14,0.5147058823529412,2.737797246558198
"frozenset({'Tea', 'Oil', 'Bread', 'Coffee'})","frozenset({'Butter', 'Sugar', 'Rice'})",0.14,0.7446808510638299,2.737797246558198
"frozenset({'Butter', 'Sugar', 'Rice'})","frozenset({'Oil', 'Bread', 'Coffee'})",0.226,0.8308823529411764,2.7331656346749225
"frozenset({'Oil', 'Bread', 'Coffee'})","frozenset({'Butter', 'Sugar', 'Rice'})",0.226,0.743421052631579,2.7331656346749225
"frozenset({'Rice', 'Bread', 'Coffee'})","frozenset({'Oil', 'Butter', 'Sugar'})",0.226,0.7793103448275863,2.7059386973180084
"frozenset({'Oil', 'Butter', 'Sugar'})","frozenset({'Rice', 'Bread', 'Coffee'})",0.226,0.7847222222222223,2.7059386973180084
"frozenset({'Rice', 'Bread', 'Biscuits', 'Coffee'})","frozenset({'Oil', 'Butter', 'Sugar'})",0.14,0.7777777777777779,2.700617283950618
"frozenset({'Oil', 'Butter', 'Sugar'})","frozenset({'Tea', 'Rice', 'Bread', 'Coffee'})",0.14,0.4861111111111112,2.700617283950618
"frozenset({'Oil', 'Butter', 'Sugar'})","frozenset({'Rice', 'Bread', 'Biscuits', 'Coffee'})",0.14,0.4861111111111112,2.700617283950618
"frozenset({'Tea', 'Rice', 'Bread', 'Coffee'})","frozenset({'Oil', 'Butter', 'Sugar'})",0.14,0.7777777777777779,2.700617283950618
"frozenset({'Tea', 'Biscuits', 'Coffee', 'Bread', 'Oil'})","frozenset({'Butter', 'Sugar', 'Rice'})",0.126,0.7325581395348838,2.693228454172367
"frozenset({'Butter', 'Sugar', 'Rice'})","frozenset({'Tea', 'Biscuits', 'Coffee', 'Bread', 'Oil'})",0.126,0.463235294117647,2.693228454172367
"frozenset({'Oil', 'Butter', 'Coffee'})","frozenset({'Rice', 'Sugar', 'Bread'})",0.226,0.7793103448275863,2.687277051129608
"frozenset({'Rice', 'Sugar', 'Bread'})","frozenset({'Oil', 'Butter', 'Coffee'})",0.226,0.7793103448275863,2.687277051129608
"frozenset({'Butter', 'Rice', 'Coffee'})","frozenset({'Oil', 'Sugar', 'Bread'})",0.226,0.8188405797101449,2.6759496068958986
"frozenset({'Oil', 'Sugar', 'Bread'})","frozenset({'Butter', 'Rice', 'Coffee'})",0.226,0.738562091503268,2.6759496068958986
"frozenset({'Oil', 'Butter', 'Sugar'})","frozenset({'Tea', 'Biscuits', 'Coffee', 'Bread', 'Rice'})",0.126,0.43750000000000006,2.6676829268292686
"frozenset({'Tea', 'Biscuits', 'Coffee', 'Bread', 'Rice'})","frozenset({'Oil', 'Butter', 'Sugar'})",0.126,0.7682926829268293,2.6676829268292686
"frozenset({'Oil', 'Tea', 'Butter', 'Coffee'})","frozenset({'Rice', 'Sugar', 'Bread'})",0.14,0.7692307692307693,2.6525198938992047
"frozenset({'Rice', 'Sugar', 'Bread'})","frozenset({'Oil', 'Tea', 'Butter', 'Coffee'})",0.14,0.48275862068965525,2.6525198938992047
"frozenset({'Rice', 'Sugar', 'Bread'})","frozenset({'Oil', 'Butter', 'Biscuits', 'Coffee'})",0.14,0.48275862068965525,2.6525198938992047
"frozenset({'Oil', 'Butter', 'Biscuits', 'Coffee'})","frozenset({'Rice', 'Sugar', 'Bread'})",0.14,0.7692307692307693,2.6525198938992047
"frozenset({'Oil', 'Bread', 'Biscuits', 'Coffee'})","frozenset({'Tea', 'Butter', 'Sugar'})",0.142,0.7634408602150538,2.6325546903967374
"frozenset({'Tea', 'Butter', 'Sugar'})","frozenset({'Oil', 'Bread', 'Biscuits', 'Coffee'})",0.142,0.4896551724137931,2.632554690396737
"frozenset({'Rice', 'Tea', 'Sugar', 'Bread'})","frozenset({'Oil', 'Butter', 'Coffee'})",0.14,0.7608695652173914,2.6236881559220393
"frozenset({'Oil', 'Butter', 'Coffee'})","frozenset({'Rice', 'Tea', 'Sugar', 'Bread'})",0.14,0.48275862068965525,2.6236881559220393
"frozenset({'Oil', 'Butter', 'Sugar', 'Biscuits'})","frozenset({'Tea', 'Bread', 'Coffee'})",0.142,0.7553191489361701,2.6226359338061465
"frozenset({'Tea', 'Bread', 'Coffee'})","frozenset({'Oil', 'Butter', 'Sugar', 'Biscuits'})",0.142,0.4930555555555555,2.6226359338061465
"frozenset({'Tea', 'Butter', 'Sugar', 'Rice'})","frozenset({'Oil', 'Bread', 'Coffee'})",0.14,0.7954545454545455,2.6166267942583734
"frozenset({'Oil', 'Bread', 'Coffee'})","frozenset({'Tea', 'Butter', 'Sugar', 'Rice'})",0.14,0.46052631578947373,2.6166267942583734
"frozenset({'Oil', 'Tea', 'Butter', 'Sugar'})","frozenset({'Bread', 'Biscuits', 'Coffee'})",0.142,0.7634408602150538,2.6145234938871704
"frozenset({'Bread', 'Biscuits', 'Coffee'})","frozenset({'Oil', 'Tea', 'Butter', 'Sugar'})",0.142,0.4863013698630137,2.6145234938871704
"frozenset({'Tea', 'Butter', 'Sugar', 'Rice'})","frozenset({'Bread', 'Biscuits', 'Coffee'})",0.134,0.7613636363636365,2.6074097135740977
"frozenset({'Bread', 'Biscuits', 'Coffee'})","frozenset({'Tea', 'Butter', 'Sugar', 'Rice'})",0.134,0.45890410958904115,2.6074097135740977
"frozenset({'Tea', 'Bread', 'Coffee'})","frozenset({'Sugar', 'Biscuits', 'Butter', 'Oil', 'Rice'})",0.126,0.43750000000000006,2.604166666666667
"frozenset({'Sugar', 'Biscuits', 'Butter', 'Oil', 'Rice'})","frozenset({'Tea', 'Bread', 'Coffee'})",0.126,0.75,2.604166666666667
"frozenset({'Oil', 'Butter', 'Biscuits', 'Coffee'})","frozenset({'Tea', 'Sugar', 'Bread'})",0.142,0.7802197802197802,2.600732600732601
"frozenset({'Tea', 'Sugar', 'Bread'})","frozenset({'Oil', 'Butter', 'Biscuits', 'Coffee'})",0.142,0.47333333333333333,2.600732600732601
"frozenset({'Oil', 'Sugar', 'Bread'})","frozenset({'Tea', 'Butter', 'Rice', 'Coffee'})",0.14,0.4575163398692811,2.599524658348188
"frozenset({'Tea', 'Butter', 'Rice', 'Coffee'})","frozenset({'Oil', 'Sugar', 'Bread'})",0.14,0.7954545454545455,2.599524658348188
"frozenset({'Tea', 'Sugar', 'Butter', 'Oil', 'Rice'})","frozenset({'Bread', 'Biscuits', 'Coffee'})",0.126,0.7590361445783133,2.5994388512955937
"frozenset({'Bread', 'Biscuits', 'Coffee'})","frozenset({'Tea', 'Sugar', 'Butter', 'Oil', 'Rice'})",0.126,0.4315068493150685,2.5994388512955933
"frozenset({'Rice', 'Sugar', 'Bread', 'Biscuits'})","frozenset({'Oil', 'Butter', 'Coffee'})",0.14,0.7526881720430109,2.5954764553207275
"frozenset({'Oil', 'Tea', 'Butter', 'Sugar'})","frozenset({'Rice', 'Bread', 'Coffee'})",0.14,0.7526881720430109,2.5954764553207275
"frozenset({'Rice', 'Bread', 'Coffee'})","frozenset({'Oil', 'Tea', 'Butter', 'Sugar'})",0.14,0.48275862068965525,2.595476455320727
"frozenset({'Oil', 'Butter', 'Coffee'})","frozenset({'Rice', 'Sugar', 'Bread', 'Biscuits'})",0.14,0.48275862068965525,2.595476455320727
"frozenset({'Butter', 'Rice', 'Coffee'})","frozenset({'Oil', 'Tea', 'Sugar', 'Bread'})",0.14,0.5072463768115942,2.587991718426501
"frozenset({'Butter', 'Rice', 'Coffee'})","frozenset({'Oil', 'Sugar', 'Bread', 'Biscuits'})",0.14,0.5072463768115942,2.587991718426501
"frozenset({'Oil', 'Sugar', 'Bread', 'Biscuits'})","frozenset({'Butter', 'Rice', 'Coffee'})",0.14,0.7142857142857143,2.5879917184265007
"frozenset({'Oil', 'Tea', 'Sugar', 'Bread'})","frozenset({'Butter', 'Rice', 'Coffee'})",0.14,0.7142857142857143,2.5879917184265007
"frozenset({'Tea', 'Butter', 'Coffee'})","frozenset({'Oil', 'Sugar', 'Bread', 'Biscuits'})",0.142,0.507142857142857,2.5874635568513114
"frozenset({'Oil', 'Sugar', 'Bread', 'Biscuits'})","frozenset({'Tea', 'Butter', 'Coffee'})",0.142,0.7244897959183673,2.5874635568513114
"frozenset({'Biscuits', 'Coffee', 'Bread', 'Oil', 'Rice'})","frozenset({'Tea', 'Butter', 'Sugar'})",0.126,0.75,2.586206896551724
"frozenset({'Tea', 'Butter', 'Sugar'})","frozenset({'Biscuits', 'Coffee', 'Bread', 'Oil', 'Rice'})",0.126,0.4344827586206897,2.586206896551724
"frozenset({'Oil', 'Butter', 'Coffee'})","frozenset({'Tea', 'Sugar', 'Biscuits', 'Bread', 'Rice'})",0.126,0.4344827586206897,2.586206896551724
"frozenset({'Rice', 'Sugar', 'Bread'})","frozenset({'Tea', 'Biscuits', 'Coffee', 'Butter', 'Oil'})",0.126,0.4344827586206897,2.586206896551724
"frozenset({'Tea', 'Sugar', 'Biscuits', 'Bread', 'Rice'})","frozenset({'Oil', 'Butter', 'Coffee'})",0.126,0.75,2.586206896551724
"frozenset({'Tea', 'Biscuits', 'Coffee', 'Butter', 'Oil'})","frozenset({'Rice', 'Sugar', 'Bread'})",0.126,0.75,2.586206896551724
"frozenset({'Tea', 'Bread', 'Coffee'})","frozenset({'Butter', 'Sugar', 'Rice', 'Biscuits'})",0.134,0.46527777777777785,2.584876543209877
"frozenset({'Butter', 'Sugar', 'Rice', 'Biscuits'})","frozenset({'Tea', 'Bread', 'Coffee'})",0.134,0.7444444444444445,2.5848765432098766
"frozenset({'Rice', 'Sugar', 'Bread', 'Biscuits'})","frozenset({'Tea', 'Butter', 'Coffee'})",0.134,0.7204301075268817,2.5729646697388633
"frozenset({'Tea', 'Butter', 'Coffee'})","frozenset({'Rice', 'Sugar', 'Bread', 'Biscuits'})",0.134,0.47857142857142854,2.5729646697388633
"frozenset({'Oil', 'Sugar', 'Bread'})","frozenset({'Butter', 'Rice', 'Biscuits', 'Coffee'})",0.14,0.4575163398692811,2.570316516119557
"frozenset({'Butter', 'Rice', 'Biscuits', 'Coffee'})","frozenset({'Oil', 'Sugar', 'Bread'})",0.14,0.7865168539325844,2.570316516119557
"frozenset({'Oil', 'Butter', 'Sugar', 'Biscuits'})","frozenset({'Rice', 'Bread', 'Coffee'})",0.14,0.7446808510638299,2.567865003668379
"frozenset({'Rice', 'Bread', 'Coffee'})","frozenset({'Oil', 'Butter', 'Sugar', 'Biscuits'})",0.14,0.48275862068965525,2.5678650036683788
"frozenset({'Tea', 'Butter', 'Sugar'})","frozenset({'Rice', 'Bread', 'Biscuits', 'Coffee'})",0.134,0.4620689655172414,2.567049808429119
"frozenset({'Rice', 'Bread', 'Biscuits', 'Coffee'})","frozenset({'Tea', 'Butter', 'Sugar'})",0.134,0.7444444444444445,2.567049808429119
"frozenset({'Tea', 'Sugar', 'Bread'})","frozenset({'Biscuits', 'Coffee', 'Butter', 'Oil', 'Rice'})",0.126,0.42000000000000004,2.5609756097560976
"frozenset({'Biscuits', 'Coffee', 'Butter', 'Oil', 'Rice'})","frozenset({'Tea', 'Sugar', 'Bread'})",0.126,0.7682926829268293,2.5609756097560976
"frozenset({'Oil', 'Bread', 'Coffee'})","frozenset({'Butter', 'Sugar', 'Rice', 'Biscuits'})",0.14,0.46052631578947373,2.558479532163743
"frozenset({'Butter', 'Sugar', 'Rice', 'Biscuits'})","frozenset({'Oil', 'Bread', 'Coffee'})",0.14,0.7777777777777779,2.558479532163743
"frozenset({'Oil', 'Bread', 'Coffee'})","frozenset({'Tea', 'Sugar', 'Biscuits', 'Butter', 'Rice'})",0.126,0.4144736842105263,2.5584795321637426
"frozenset({'Tea', 'Sugar', 'Biscuits', 'Butter', 'Rice'})","frozenset({'Oil', 'Bread', 'Coffee'})",0.126,0.7777777777777778,2.5584795321637426
"frozenset({'Tea', 'Butter', 'Coffee'})","frozenset({'Sugar', 'Biscuits', 'Bread', 'Oil', 'Rice'})",0.126,0.44999999999999996,2.5568181818181817
"frozenset({'Sugar', 'Biscuits', 'Bread', 'Oil', 'Rice'})","frozenset({'Tea', 'Butter', 'Coffee'})",0.126,0.7159090909090909,2.5568181818181817
"frozenset({'Tea', 'Oil', 'Bread', 'Coffee'})","frozenset({'Butter', 'Sugar', 'Biscuits'})",0.142,0.7553191489361701,2.5517538815411154
"frozenset({'Butter', 'Sugar', 'Biscuits'})","frozenset({'Tea', 'Oil', 'Bread', 'Coffee'})",0.142,0.4797297297297297,2.5517538815411154
"frozenset({'Bread', 'Biscuits', 'Coffee'})","frozenset({'Tea', 'Butter', 'Sugar'})",0.216,0.7397260273972603,2.5507794048181394
"frozenset({'Tea', 'Butter', 'Sugar'})","frozenset({'Bread', 'Biscuits', 'Coffee'})",0.216,0.7448275862068966,2.5507794048181394
"frozenset({'Oil', 'Tea', 'Butter', 'Coffee'})","frozenset({'Sugar', 'Bread', 'Biscuits'})",0.142,0.7802197802197802,2.549737843855491
"frozenset({'Sugar', 'Bread', 'Biscuits'})","frozenset({'Oil', 'Tea', 'Butter', 'Coffee'})",0.142,0.4640522875816993,2.5497378438554907
"frozenset({'Rice', 'Tea', 'Sugar', 'Bread'})","frozenset({'Butter', 'Biscuits', 'Coffee'})",0.134,0.7282608695652174,2.5463666768014597
"frozenset({'Butter', 'Biscuits', 'Coffee'})","frozenset({'Rice', 'Tea', 'Sugar', 'Bread'})",0.134,0.4685314685314686,2.5463666768014597
"frozenset({'Oil', 'Sugar', 'Bread'})","frozenset({'Tea', 'Biscuits', 'Coffee', 'Butter', 'Rice'})",0.126,0.411764705882353,2.541757443718228
"frozenset({'Tea', 'Biscuits', 'Coffee', 'Butter', 'Rice'})","frozenset({'Oil', 'Sugar', 'Bread'})",0.126,0.7777777777777778,2.541757443718228
"frozenset({'Butter', 'Rice', 'Coffee'})","frozenset({'Tea', 'Sugar', 'Biscuits', 'Bread', 'Oil'})",0.126,0.45652173913043476,2.536231884057971
"frozenset({'Tea', 'Sugar', 'Biscuits', 'Bread', 'Oil'})","frozenset({'Butter', 'Rice', 'Coffee'})",0.126,0.7000000000000001,2.536231884057971
"frozenset({'Butter', 'Sugar', 'Biscuits'})","frozenset({'Tea', 'Bread', 'Coffee'})",0.216,0.7297297297297297,2.5337837837837838
"frozenset({'Tea', 'Bread', 'Coffee'})","frozenset({'Butter', 'Sugar', 'Biscuits'})",0.216,0.75,2.5337837837837838
"frozenset({'Butter', 'Biscuits', 'Coffee'})","frozenset({'Oil', 'Tea', 'Sugar', 'Bread'})",0.142,0.4965034965034965,2.533181104609676
"frozenset({'Oil', 'Tea', 'Sugar', 'Bread'})","frozenset({'Butter', 'Biscuits', 'Coffee'})",0.142,0.7244897959183673,2.533181104609676
"frozenset({'Tea', 'Sugar', 'Biscuits', 'Butter', 'Oil'})","frozenset({'Rice', 'Bread', 'Coffee'})",0.126,0.7325581395348838,2.5260625501202894
"frozenset({'Rice', 'Bread', 'Coffee'})","frozenset({'Tea', 'Sugar', 'Biscuits', 'Butter', 'Oil'})",0.126,0.4344827586206897,2.526062550120289
"frozenset({'Tea', 'Butter', 'Coffee'})","frozenset({'Sugar', 'Bread', 'Biscuits'})",0.216,0.7714285714285714,2.5210084033613445
"frozenset({'Sugar', 'Bread', 'Biscuits'})","frozenset({'Tea', 'Butter', 'Coffee'})",0.216,0.7058823529411765,2.5210084033613445
"frozenset({'Butter', 'Biscuits', 'Coffee'})","frozenset({'Tea', 'Sugar', 'Bread'})",0.216,0.7552447552447553,2.517482517482518
"frozenset({'Tea', 'Sugar', 'Bread'})","frozenset({'Butter', 'Biscuits', 'Coffee'})",0.216,0.72,2.5174825174825175
